model,split,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,cohen_kappa
LogisticRegression_SGD,val,0.8125,0.741334455265234,0.8126928690951073,0.7388636332204013,0.7824402673266397,0.7475687165074174
LogisticRegression_SGD,test,0.81,0.7321704142632321,0.8095277159122053,0.7306143208913715,0.7749514140336574,0.7440981284010537
DecisionTree,val,0.9853,0.9381852720183305,0.9856354024210218,0.9219845114070547,0.960218958994515,0.9800216147101802
DecisionTree,test,0.9858,0.9257465761555143,0.9862487351666915,0.9067970664494872,0.9540584250051672,0.9807144390383757
RandomForest,val,0.9191,0.871028277558732,0.9201141542782961,0.8567784999363498,0.8894596469830903,0.8910354354380241
RandomForest,test,0.92,0.8808848209526374,0.9208681889141277,0.8676726922129893,0.8970453517245399,0.8922158415497422
ExtraTrees,val,0.8276,0.7809287819884476,0.8297010696646552,0.7449064984441499,0.8391071811518773,0.7702687400010602
ExtraTrees,test,0.8245,0.7733378232154067,0.8267803753736581,0.7354301895734497,0.8376156911666931,0.7660441084840804
XGBoost,val,0.988,0.9551514944087086,0.9879486606382174,0.9611137294763936,0.9500695593057422,0.9836596367700657
XGBoost,test,0.9878,0.9597817435123778,0.987661822782232,0.9750009524255915,0.9462062467173912,0.9833904753170823
LightGBM,val,0.9899,0.9599091799222313,0.989860484934117,0.9657753785987144,0.9543830514439381,0.9862477212406016
LightGBM,test,0.9893,0.9570391300125186,0.989166522742953,0.9706647025330577,0.9448895808842979,0.9854369866920598
